rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum,dataRate,scenario,switchAuxPhy
407456,1,1,1,1,1.83582,1.49678e-05,0.0679564,105.045,1652062904,1682959064,1081193,1101413,1.01091,1.01091,121,121,16.1831,73474,107,A,0
407456,1,1,1,2,2.7541,1.70389e-05,0.0848723,104.055,1636608712,1682959064,1071079,1101413,1.00286,1.00286,121,121,18.25,90904.9,107,B,0
407456,1,1,1,2,2.79069,1.71243e-05,0.0853385,104.016,1635992928,1682959064,1070676,1101413,1.0022,1.0022,121,121,18.3346,91369.8,107,C,0
407456,1,1,1,3,2.63634,1.67736e-05,0.0819715,104.181,1638590528,1682959064,1072376,1101413,1.00286,1.00286,121,121,17.9876,87904.3,107,D,0
407456,1,1,3,1,1.83582,1.49678e-05,0.0679564,105.045,1652062904,1682959064,1081193,1101413,1.01091,1.01091,121,121,16.1831,73474,107,A,0
407456,1,1,3,2,2.7541,1.70389e-05,0.0848723,104.055,1636608712,1682959064,1071079,1101413,1.00286,1.00286,121,121,18.25,90904.9,107,B,0
407456,1,1,3,2,2.79069,1.71243e-05,0.0853385,104.016,1635992928,1682959064,1070676,1101413,1.0022,1.0022,121,121,18.3346,91369.8,107,C,0
407456,1,1,3,3,2.63634,1.67736e-05,0.0819715,104.181,1638590528,1682959064,1072376,1101413,1.00286,1.00286,121,121,17.9876,87904.3,107,D,0
407456,1,1,5,1,1.83582,1.49678e-05,0.0679564,105.045,1652062904,1682959064,1081193,1101413,1.01091,1.01091,121,121,16.1831,73474,107,A,0
407456,1,1,5,2,2.7541,1.70389e-05,0.0848723,104.055,1636608712,1682959064,1071079,1101413,1.00286,1.00286,121,121,18.25,90904.9,107,B,0
407456,1,1,5,2,2.79069,1.71243e-05,0.0853385,104.016,1635992928,1682959064,1070676,1101413,1.0022,1.0022,121,121,18.3346,91369.8,107,C,0
407456,1,1,5,3,2.63634,1.67736e-05,0.0819715,104.181,1638590528,1682959064,1072376,1101413,1.00286,1.00286,121,121,17.9876,87904.3,107,D,0
407456,1,1,7,1,1.83582,1.49678e-05,0.0679564,105.045,1652062904,1682959064,1081193,1101413,1.01091,1.01091,121,121,16.1831,73474,107,A,0
407456,1,1,7,2,2.7541,1.70389e-05,0.0848723,104.055,1636608712,1682959064,1071079,1101413,1.00286,1.00286,121,121,18.25,90904.9,107,B,0
