rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum,dataRate,scenario,switchAuxPhy
407456,1,1,0,1,0.00680028,3.81332e-05,0.000189103,10.0003,157277040,157287736,102930,102937,1.01091,1.01091,121,121,3.92501,19.4643,10,A,0
407456,1,1,0,2,0,3.98982e-05,0.000229255,10.0003,157287736,157287736,102937,102937,1.0022,1.0022,121,121,4.10696,23.5989,10,D,0
407456,1,1,0,2,0.000971468,7.80744e-06,0.000312658,10.0003,157286208,157287736,102936,102937,1.00283,1.00283,120.999,120.999,0.803659,32.1837,10,C,0
407456,1,1,0,1,0.00825752,2.35651e-05,0.000192995,20.0003,314547968,314573944,205856,205873,1.01091,1.01091,120.999,120.999,4.85099,39.7292,20,A,0
407456,1,1,0,3,0.000971468,5.79385e-06,0.000312734,10.0003,157286208,157287736,102936,102937,1.00284,1.00284,120.999,120.999,0.59639,32.1916,10,E,0
407456,1,1,0,1,0.00809562,1.70178e-05,0.000198703,30.0004,471821952,471860152,308784,308809,1.01091,1.01091,121,121,5.25481,61.3562,30,A,0
407456,1,1,0,2,0.000971473,6.47175e-05,0.000238393,20.0003,314570888,314573944,205871,205873,1.0022,1.0022,121,121,13.3234,49.0783,20,D,0
407456,1,1,0,2,0.00145721,4.99916e-05,0.000292315,20.0003,314569360,314573944,205870,205873,1.00283,1.00283,121,121,10.2917,60.179,20,C,0
407456,1,1,0,3,0.00145721,1.38905e-05,0.000306653,20.0003,314569360,314573944,205870,205873,1.00284,1.00284,121,121,2.85962,63.1307,20,E,0
407456,1,1,0,1,0.00850041,6.21799e-05,0.000389295,40.0003,629092880,629146360,411710,411745,1.01091,1.01091,121,121,25.6,160.276,40,A,0
407456,1,1,0,2,0.00161912,0.00010157,0.000581944,30.0003,471852512,471860152,308804,308809,1.00283,1.00283,121,121,31.3652,179.706,30,C,0
407456,1,1,0,2,0.000971474,0.000101959,0.000573141,30.0004,471855568,471860152,308806,308809,1.0022,1.0022,121,121,31.4853,176.989,30,D,0
407456,1,1,0,3,0.00161912,0.000102301,0.000578172,30.0003,471852512,471860152,308804,308809,1.00284,1.00284,121,121,31.5907,178.542,30,E,0
407456,1,1,0,2,0.00194295,0.000170492,0.000587224,40.0002,629134136,629146360,411737,411745,1.00283,1.00283,121,121,70.1978,241.782,40,C,0
407456,1,1,0,1,0.00874326,0.000105043,0.000418308,50.0004,786365336,786434096,514637,514682,1.01091,1.01091,121,121,54.059,215.277,50,A,0
407456,1,1,0,2,0.00145721,0.000169982,0.000589666,40.0002,629137192,629146360,411739,411745,1.0022,1.0022,121,121,69.988,242.789,40,D,0
407456,1,1,0,3,0.00194295,0.000172951,0.000578672,40.0003,629134136,629146360,411737,411745,1.00284,1.00284,121,121,71.2103,238.261,40,E,0
407456,1,1,0,2,0.00213724,0.00015936,0.000697426,50.0003,786417288,786434096,514671,514682,1.00283,1.00283,121,121,82.0179,358.945,50,C,0
407456,1,1,0,1,0.00874327,0.000103438,0.000532661,60.0004,943637792,943720304,617564,617618,1.01091,1.01091,121,121,63.8792,328.952,60,A,0
407456,1,1,0,2,0.00155436,0.000157232,0.000698337,50.0003,786421872,786434096,514674,514682,1.0022,1.0022,121,121,80.923,359.416,50,D,0
407456,1,1,0,3,0.00233154,0.000160639,0.000689974,50.0003,786415760,786434096,514670,514682,1.00284,1.00284,121,121,82.6758,355.109,50,E,0
407456,1,1,0,2,0.00226677,0.000132385,0.000816692,60.0003,943698912,943720304,617604,617618,1.00283,1.00283,121,121,81.7612,504.393,60,C,0
407456,1,1,0,2,0.00178104,0.000131471,0.000819788,60.0002,943703496,943720304,617607,617618,1.0022,1.0022,121,121,81.1975,506.307,60,D,0
407456,1,1,0,1,0.00888208,8.70981e-05,0.000662098,70.0002,1100905664,1101003456,720488,720552,1.01091,1.01091,121,121,62.753,477.034,70,A,0
407456,1,1,0,3,0.00226677,0.000132835,0.000802526,60.0003,943698912,943720304,617604,617618,1.00284,1.00284,121,121,82.0394,495.643,60,E,0
407456,1,1,0,2,0.0023593,0.000101303,0.0010098,70,1100977480,1101003456,720535,720552,1.00283,1.00283,121,121,72.9925,727.595,70,C,0
407456,1,1,0,2,0.00194295,0.000100486,0.00101141,69.9999,1100982064,1101003456,720538,720552,1.0022,1.0022,121,121,72.4037,728.761,70,D,0
407456,1,1,0,1,0.00922899,6.54487e-05,0.000888,80.0004,1258179648,1258295776,823416,823492,1.01091,1.01091,121,121,53.8914,731.193,80,A,0
407456,1,1,0,3,0.00249808,0.000102179,0.000995051,69.9998,1100975952,1101003456,720534,720552,1.00284,1.00284,121,121,73.6233,716.968,70,E,0
407456,1,1,0,2,0.00291442,7.23178e-05,0.00131811,80.0001,1258259104,1258295776,823468,823492,1.00283,1.00283,121,121,59.5513,1085.42,80,C,0
407456,1,1,0,2,0.00218581,7.14239e-05,0.00131986,80,1258268272,1258295776,823474,823492,1.0022,1.0022,121,121,58.8157,1086.87,80,D,0
407456,1,1,0,1,0.00939092,4.38042e-05,0.00132351,89.9999,1415447520,1415580456,926340,926427,1.01091,1.01091,121,121,40.5775,1226.02,90,A,0
407456,1,1,0,3,0.00291442,7.2405e-05,0.00130094,79.9999,1258259104,1258295776,823468,823492,1.00284,1.00284,121,121,59.6232,1071.29,80,E,0
