rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum,rateAdaptationManager,scenario,dataRate
407456,1,1,0,1,0.00874321,4.2613e-05,0.000195217,10.0004,157273984,157287736,102928,102937,1.01378,1.01378,121,121,4.38603,20.0933,ns3::ThompsonSamplingWifiManager,A,10
407456,2,1,0,1,0.00194294,4.2591e-05,0.000195191,10.0004,157284680,157287736,102935,102937,1.0058,1.0058,121,121,4.38406,20.092,ns3::ThompsonSamplingWifiManager,A,10
407456,1,1,0,2,0.00485734,8.94194e-06,0.00031132,10.0004,157280096,157287736,102932,102937,1.008,1.008,120.999,120.999,0.920402,32.0448,ns3::ThompsonSamplingWifiManager,B,10
407456,2,1,0,2,0.00388587,5.65208e-05,0.000207152,10.0004,157281624,157287736,102933,102937,1.00827,1.00827,121,121,5.8178,21.3228,ns3::ThompsonSamplingWifiManager,B,10
407456,1,1,0,1,0.0102005,3.66713e-05,0.000218772,20.0004,314541856,314573944,205852,205873,1.01352,1.01352,120.999,120.999,7.54883,45.0347,ns3::ThompsonSamplingWifiManager,A,20
407456,2,1,0,1,0.00388589,3.66934e-05,0.00021891,20.0003,314561720,314573944,205865,205873,1.0058,1.0058,120.999,120.999,7.55386,45.0659,ns3::ThompsonSamplingWifiManager,A,20
407456,1,1,0,3,0.00388587,6.59823e-06,0.000312413,10.0004,157281624,157287736,102933,102937,1.00712,1.00712,120.999,120.999,0.679169,32.1576,ns3::ThompsonSamplingWifiManager,D,10
407456,2,1,0,3,0.00874321,8.92171e-05,0.000229187,10.0004,157273984,157287736,102928,102937,1.01457,1.01457,121,121,9.18285,23.5897,ns3::ThompsonSamplingWifiManager,D,10
407456,1,1,0,1,0.0123053,0.000307575,0.000785585,30.0004,471802088,471860152,308771,308809,1.01558,1.01558,121,121,94.97,242.566,ns3::ThompsonSamplingWifiManager,A,30
407456,2,1,0,1,0.00420972,0.000307829,0.000787968,30.0003,471840288,471860152,308796,308809,1.0058,1.0058,121,121,95.056,243.321,ns3::ThompsonSamplingWifiManager,A,30
