rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum,dataRate,scenario,switchAuxPhy
1,1,1,0.5,1,0.00485737,2.42671e-05,0.00209088,99.999,1572790264,1572866664,1029313,1029363,1.00443,1.00443,121,121,24.9784,2152.17,100,1,0
1,1,1,0.5,1,0.00340016,9.15212e-05,0.000378469,100,1572813184,1572866664,1029328,1029363,1.00438,1.00438,121,121,94.2053,389.568,100,2,0
1,1,1,0.5,1,0.00349731,0.000104978,0.000251426,100.001,1572811656,1572866664,1029327,1029363,1.00435,1.00435,121,121,108.056,258.8,100,3,0
1,1,1,0.5,1,0.00330301,0.000108616,0.000205673,100.001,1572814712,1572866664,1029329,1029363,1.00434,1.00434,121,121,111.802,211.705,100,4,0
1,1,1,0.5,1,46.6343,9.7011e-05,0.899032,106.735,1678728032,3145705824,1098644,2058708,1.00443,1.00443,121,121,106.58,987716,200,1,0
1,1,1,0.5,1,0.00349734,7.1192e-05,0.000239904,199.999,3145595808,3145705824,2058636,2058708,1.00434,1.00434,121,121,146.558,493.875,200,4,0
1,1,1,0.5,1,0.00505171,1.2718e-05,0.00205745,199.996,3145546912,3145705824,2058604,2058708,1.00438,1.00438,121,121,26.1813,4235.48,200,2,0
1,1,1,0.5,1,0.00340016,0.000110336,0.000185859,100,1572813184,1572866664,1029328,1029363,1.00433,1.00433,121,121,113.571,191.31,100,5,0
1,1,1,0.5,1,0.00364306,5.54312e-05,0.000356011,199.999,3145591224,3145705824,2058633,2058708,1.00435,1.00435,121,121,114.112,732.896,200,3,0
1,1,1,0.5,1,64.4217,0.000134332,0.902771,106.739,1678795264,4718598464,1098688,3088088,1.00443,1.00443,121,121,147.589,991864,300,1,0
1,1,1,0.5,1,32.5085,3.58497e-05,0.528047,202.483,3184653016,4718598464,2084197,3088088,1.00438,1.00438,121,121,74.7178,1.10055e+06,300,2,0
1,1,1,0.5,1,0.00356207,4.54729e-05,0.000285278,300.001,4718430384,4718598464,3087978,3088088,1.00434,1.00434,121,121,140.419,880.932,300,4,0
1,1,1,0.5,1,0.00354591,7.82694e-05,0.000200817,199.999,3145594280,3145705824,2058635,2058708,1.00433,1.00433,121,121,161.128,413.408,200,5,0
1,1,1,0.5,1,0.00378875,2.56312e-05,0.000595636,300,4718419688,4718598464,3087971,3088088,1.00435,1.00435,121,121,79.1483,1839.31,300,3,0
1,1,1,0.5,1,73.3185,0.000153044,0.904118,106.731,1678669968,6291518608,1098606,4117486,1.00443,1.00443,121,121,168.135,993269,400,1,0
1,1,1,0.5,1,49.3806,5.43883e-05,0.529887,202.487,3184727888,6291518608,2084246,4117486,1.00438,1.00438,121,121,113.359,1.10442e+06,400,2,0
1,1,1,0.5,1,0.00361871,2.98728e-05,0.000351676,400.004,6291290936,6291518608,4117337,4117486,1.00434,1.00434,121,121,122.997,1447.97,400,4,0
1,1,1,0.5,1,0.00356207,5.37722e-05,0.000219503,300.001,4718430384,4718598464,3087978,3088088,1.00433,1.00433,121,121,166.047,677.821,300,5,0
1,1,1,0.5,1,4.70464,1.13538e-05,0.253078,381.199,5995525144,6291518608,3923773,4117486,1.00435,1.00435,121,121,44.5498,993020,400,3,0
1,1,1,0.5,1,78.6534,0.000164299,0.904723,106.739,1678795264,7864466256,1098688,5146902,1.00443,1.00443,121,121,180.513,994009,500,1,0
1,1,1,0.5,1,0.00361871,3.97818e-05,0.000237546,400.004,6291290936,6291518608,4117337,4117486,1.00433,1.00433,121,121,163.795,978.056,400,5,0
1,1,1,0.5,1,0.00378869,2.03301e-05,0.000440249,500.009,7864168296,7864466256,5146707,5146902,1.00434,1.00434,121,121,104.633,2265.83,500,4,0
1,1,1,0.5,1,59.5049,6.5548e-05,0.530557,202.487,3184723304,7864466256,2084243,5146902,1.00438,1.00438,121,121,136.618,1.10581e+06,500,2,0
1,1,1,0.5,1,23.7634,1.41322e-05,0.299712,381.204,5995604600,7864466256,3923825,5146902,1.00435,1.00435,121,121,55.4521,1.17602e+06,500,3,0
1,1,1,0.5,1,82.2118,0.000171849,0.905176,106.731,1678668440,9436953976,1098605,6176017,1.00443,1.00443,121,121,188.794,994431,600,1,0
1,1,1,0.5,1,0.00401553,1.34676e-05,0.000587232,599.984,9436575032,9436953976,6175769,6176017,1.00434,1.00434,121,121,83.173,3626.61,600,4,0
1,1,1,0.5,1,66.2506,7.30215e-05,0.530887,202.499,3184911248,9436953976,2084366,6176017,1.00438,1.00438,121,121,152.204,1.10656e+06,600,2,0
1,1,1,0.5,1,0.00371097,3.04372e-05,0.000259655,500.009,7864174408,7864466256,5146711,5146902,1.00433,1.00433,121,121,156.652,1336.37,500,5,0
1,1,1,0.5,1,36.4668,2.15017e-05,0.300431,381.204,5995595432,9436953976,3923819,6176017,1.00435,1.00435,121,121,84.3687,1.17884e+06,600,3,0
1,1,1,0.5,1,84.7532,0.000177244,0.905458,106.731,1678668440,11009968856,1098605,7205477,1.00443,1.00443,121,121,194.72,994741,700,1,0
1,1,1,0.5,1,0.0036917,2.41666e-05,0.000282927,599.985,9436605592,9436953976,6175789,6176017,1.00433,1.00433,121,121,149.248,1747.3,600,5,0
1,1,1,0.5,1,7.79389,1.10006e-05,0.17106,645.461,10151863920,11009968856,6643890,7205477,1.00434,1.00434,121,121,73.087,1.1365e+06,700,4,0
1,1,1,0.5,1,71.0736,7.8365e-05,0.531129,202.491,3184785952,11009968856,2084284,7205477,1.00438,1.00438,121,121,163.335,1.10702e+06,700,2,0
1,1,1,0.5,1,45.5456,2.68202e-05,0.300741,381.192,5995413600,11009968856,3923700,7205477,1.00435,1.00435,121,121,105.235,1.18002e+06,700,3,0
1,1,1,0.5,1,86.6578,0.000181255,0.905576,106.743,1678857912,12583037216,1098729,8234972,1.00443,1.00443,121,121,199.15,994983,800,1,0
1,1,1,0.5,1,0.00370551,1.93951e-05,0.000312609,699.995,11009560880,11009968856,7205210,7205477,1.00433,1.00433,121,121,139.745,2252.41,700,5,0
1,1,1,0.5,1,74.6903,8.23655e-05,0.531294,202.487,3184724832,12583037216,2084244,8234972,1.00438,1.00438,121,121,171.67,1.10735e+06,800,2,0
1,1,1,0.5,1,19.317,1.1103e-05,0.183119,645.494,10152375800,12583037216,6644225,8234972,1.00434,1.00434,121,121,73.7708,1.21668e+06,800,4,0
1,1,1,0.5,1,52.3547,3.08131e-05,0.300922,381.18,5995231768,12583037216,3923581,8234972,1.00435,1.00435,121,121,120.897,1.18069e+06,800,3,0
1,1,1,0.5,1,88.1406,0.000184441,0.905761,106.739,1678795264,14155795392,1098688,9264264,1.00443,1.00443,121,121,202.643,995149,900,1,0
1,1,1,0.5,1,0.00369157,1.57708e-05,0.000347065,800.008,12582572704,12583037216,8234668,8234972,1.00433,1.00433,121,121,129.867,2857.96,800,5,0
1,1,1,0.5,1,77.501,8.5507e-05,0.531376,202.499,3184914304,14155795392,2084368,9264264,1.00438,1.00438,121,121,178.228,1.10758e+06,900,2,0
1,1,1,0.5,1,28.2817,1.1183e-05,0.183408,645.489,10152294816,14155795392,6644172,9264264,1.00434,1.00434,121,121,74.3016,1.21859e+06,900,4,0
1,1,1,0.5,1,57.6469,3.38832e-05,0.301028,381.192,5995412072,14155795392,3923699,9264264,1.00435,1.00435,121,121,132.947,1.18114e+06,900,3,0
1,1,1,0.5,1,89.3262,0.000186994,0.905882,106.739,1678795264,15728255608,1098688,10293361,1.00443,1.00443,121,121,205.447,995281,1000,1,0
1,1,1,0.5,1,0.00379955,1.28857e-05,0.000390761,900.001,14155257536,14155795392,9263912,9264264,1.00433,1.00433,121,121,119.372,3619.98,900,5,0
1,1,1,0.5,1,35.453,1.24685e-05,0.183548,645.479,10152117568,15728255608,6644056,10293361,1.00434,1.00434,121,121,82.8413,1.21951e+06,1000,4,0
1,1,1,0.5,1,79.7504,8.80237e-05,0.531465,202.499,3184914304,15728255608,2084368,10293361,1.00438,1.00438,121,121,183.474,1.10777e+06,1000,2,0
1,1,1,0.5,1,61.8813,3.63646e-05,0.301109,381.192,5995412072,15728255608,3923699,10293361,1.00435,1.00435,121,121,142.684,1.18146e+06,1000,3,0
1,1,1,0.5,1,90.2978,0.000189111,0.906062,106.727,1678607320,17301378976,1098565,11322892,1.00443,1.00443,121,121,207.751,995368,1100,1,0
1,1,1,0.5,1,1.21533,1.08406e-05,0.0731549,987.86,15537105864,15728255608,10168263,10293361,1.00433,1.00433,121,121,110.23,743859,1000,5,0
1,1,1,0.5,1,81.5923,9.00855e-05,0.531556,202.491,3184790536,17301378976,2084287,11322892,1.00438,1.00438,121,121,187.764,1.10791e+06,1100,2,0
1,1,1,0.5,1,41.3219,1.4475e-05,0.183633,645.479,10152123680,17301378976,6644060,11322892,1.00434,1.00434,121,121,96.1729,1.22007e+06,1100,4,0
1,1,1,0.5,1,65.35,3.84138e-05,0.301192,381.161,5994923112,17301378976,3923379,11322892,1.00435,1.00435,121,121,150.712,1.18169e+06,1100,3,0
1,1,1,0.5,1,91.1055,0.000190871,0.906089,106.735,1678734144,18873906424,1098648,12352033,1.00443,1.00443,121,121,209.7,995472,1200,1,0
1,1,1,0.5,1,10.1992,1.08498e-05,0.121562,987.837,15536768176,17301378976,10168042,11322892,1.00433,1.00433,121,121,110.321,1.23604e+06,1100,5,0
1,1,1,0.5,1,46.2118,1.61903e-05,0.183695,645.466,10151938792,18873906424,6643939,12352033,1.00434,1.00434,121,121,107.567,1.22046e+06,1200,4,0
1,1,1,0.5,1,83.1253,9.17934e-05,0.531588,202.499,3184917360,18873906424,2084370,12352033,1.00438,1.00438,121,121,191.331,1.10803e+06,1200,2,0
1,1,1,0.5,1,68.2317,4.01087e-05,0.301193,381.225,5995927008,18873906424,3924036,12352033,1.00435,1.00435,121,121,157.388,1.18189e+06,1200,3,0
1,1,1,0.5,1,91.7904,0.00019237,0.906139,106.735,1678734144,20448311784,1098648,13382403,1.00443,1.00443,121,121,211.347,995528,1300,1,0
1,1,1,0.5,1,17.6848,1.08538e-05,0.121863,987.795,15536089744,18873906424,10167598,12352033,1.00433,1.00433,121,121,110.357,1.23905e+06,1200,5,0
1,1,1,0.5,1,50.3532,1.76107e-05,0.183739,645.467,10151940320,20448311784,6643940,13382403,1.00434,1.00434,121,121,117.004,1.22075e+06,1300,4,0
1,1,1,0.5,1,84.4245,9.32582e-05,0.531636,202.499,3184917360,20448311784,2084370,13382403,1.00438,1.00438,121,121,194.385,1.10813e+06,1300,2,0
1,1,1,0.5,1,70.6776,4.15511e-05,0.301232,381.225,5995927008,20448311784,3924036,13382403,1.00435,1.00435,121,121,163.048,1.18205e+06,1300,3,0
1,1,1,0.5,1,92.3769,0.000193707,0.906239,106.727,1678610376,22019936184,1098567,14410953,1.00443,1.00443,121,121,212.8,995564,1400,1,0
1,1,1,0.5,1,24.0174,1.08865e-05,0.121969,987.863,15537162400,20448311784,10168300,13382403,1.00433,1.00433,121,121,110.697,1.24022e+06,1300,5,0
1,1,1,0.5,1,53.8966,1.88352e-05,0.183773,645.467,10151940320,22019936184,6643940,14410953,1.00434,1.00434,121,121,125.14,1.22097e+06,1400,4,0
1,1,1,0.5,1,85.5371,9.45431e-05,0.531704,202.487,3184727888,22019936184,2084246,14410953,1.00438,1.00438,121,121,197.051,1.1082e+06,1400,2,0
1,1,1,0.5,1,72.7727,4.27839e-05,0.301287,381.193,5995433464,22019936184,3923713,14410953,1.00435,1.00435,121,121,167.872,1.18216e+06,1400,3,0
1,1,1,0.5,1,92.8852,0.000194807,0.906312,106.723,1678549256,23592384176,1098527,15440042,1.00443,1.00443,121,121,214.001,995608,1500,1,0
1,1,1,0.5,1,56.9694,1.98947e-05,0.1838,645.467,10151941848,23592384176,6643941,15440042,1.00434,1.00434,121,121,132.179,1.22116e+06,1500,4,0
1,1,1,0.5,1,29.4405,1.09208e-05,0.122033,987.863,15537162400,22019936184,10168300,14410953,1.00433,1.00433,121,121,111.046,1.24086e+06,1400,5,0
1,1,1,0.5,1,86.5016,9.56466e-05,0.531753,202.479,3184604120,23592384176,2084165,15440042,1.00438,1.00438,121,121,199.343,1.10826e+06,1500,2,0
1,1,1,0.5,1,74.5875,4.38565e-05,0.301316,381.192,5995419712,23592384176,3923704,15440042,1.00435,1.00435,121,121,172.08,1.18227e+06,1500,3,0
1,1,1,0.5,1,34.1433,1.09506e-05,0.122075,987.863,15537163928,23592384176,10168301,15440042,1.00433,1.00433,121,121,111.349,1.2413e+06,1500,5,0
