rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum,rateAdaptationManager,scenario
407456,1,1,1,1,45.9901,0.000192681,1.42119,57.8018,908964416,1682959064,594872,1101413,1.01966,1.01966,120.996,120.996,114.621,845425,ns3::ThompsonSamplingWifiManager,B
407456,2,1,1,1,46.907,0.000199839,1.43593,56.8105,893533144,1682959064,584773,1101413,1.00253,1.00253,121,121,116.86,839691,ns3::ThompsonSamplingWifiManager,B
407456,1,1,1,2,2.55417,1.65873e-05,0.0876588,104.275,1639973368,1682959064,1073281,1101413,1.00949,1.00949,121,121,17.8028,94082.5,ns3::ThompsonSamplingWifiManager,C
407456,2,1,1,2,7.35573,2.81339e-05,0.319146,99.1309,1559165088,1682959064,1020396,1101413,1.00222,1.00222,121,121,28.7076,325655,ns3::ThompsonSamplingWifiManager,C
407456,1,1,1,2,6.27884,2.54269e-05,0.23016,100.29,1577288696,1682959064,1032257,1101413,1.01021,1.01021,121,121,26.2471,237584,ns3::ThompsonSamplingWifiManager,D
407456,2,1,1,2,2.2877,1.59973e-05,0.0900655,104.554,1644458048,1682959064,1076216,1101413,1.0022,1.0022,121,121,17.2165,96929.9,ns3::ThompsonSamplingWifiManager,D
407456,1,1,1,3,2.73885,1.70121e-05,0.0844504,104.074,1636865416,1682959064,1071247,1101413,1.00587,1.00587,121,121,18.2241,90467.3,ns3::ThompsonSamplingWifiManager,E
407456,2,1,1,3,1.02832,1.31668e-05,0.0664035,105.907,1665652936,1682959064,1090087,1101413,1.00849,1.00849,121,121,14.3529,72385.6,ns3::ThompsonSamplingWifiManager,E
407456,1,1,3,1,46.7144,0.000215381,1.42745,57.0263,896774032,1682959064,586894,1101413,1.01987,1.01987,120.997,120.997,126.406,837759,ns3::ThompsonSamplingWifiManager,B
407456,2,1,3,1,47.6098,0.000222386,1.43909,56.0585,881704896,1682959064,577032,1101413,1.00253,1.00253,121,121,128.324,830401,ns3::ThompsonSamplingWifiManager,B
407456,1,1,3,2,2.74139,1.88332e-05,0.0909892,104.075,1636822632,1682959064,1071219,1101413,1.00949,1.00949,121,121,20.1744,97469.4,ns3::ThompsonSamplingWifiManager,C
407456,2,1,3,2,7.66243,3.08954e-05,0.328032,98.8029,1554003504,1682959064,1017018,1101413,1.00222,1.00222,121,121,31.4211,333614,ns3::ThompsonSamplingWifiManager,C
407456,1,1,3,2,6.38798,2.58997e-05,0.245855,100.173,1575452040,1682959064,1031055,1101413,1.01021,1.01021,121,121,26.704,253491,ns3::ThompsonSamplingWifiManager,D
407456,2,1,3,2,2.09976,1.88106e-05,0.0808215,104.755,1647621008,1682959064,1078286,1101413,1.0022,1.0022,121,121,20.2832,87148.7,ns3::ThompsonSamplingWifiManager,D
407456,1,1,3,3,2.74674,1.71391e-05,0.0848134,104.066,1636732480,1682959064,1071160,1101413,1.00587,1.00587,121,121,18.3587,90848.7,ns3::ThompsonSamplingWifiManager,E
407456,2,1,3,3,1.03721,1.32958e-05,0.0670941,105.897,1665503192,1682959064,1089989,1101413,1.00849,1.00849,121,121,14.4922,73131.8,ns3::ThompsonSamplingWifiManager,E
407456,1,1,5,1,55.5358,0.000275645,1.58005,47.5848,748315080,1682959064,489735,1101413,1.01987,1.01987,120.999,120.999,134.993,773807,ns3::ThompsonSamplingWifiManager,B
407456,2,1,5,1,55.7054,0.000276873,1.52575,47.3961,745460776,1682959064,487867,1101413,1.00253,1.00253,121,121,135.077,744363,ns3::ThompsonSamplingWifiManager,B
407456,1,1,5,2,4.11635,1.99435e-05,0.126227,102.603,1613682600,1682959064,1056075,1101413,1.00949,1.00949,121,121,21.0618,133306,ns3::ThompsonSamplingWifiManager,C
407456,2,1,5,2,10.2018,3.50674e-05,0.607471,96.0856,1511266872,1682959064,989049,1101413,1.00222,1.00222,121,121,34.6834,600818,ns3::ThompsonSamplingWifiManager,C
407456,1,1,5,2,6.50755,2.63345e-05,0.255618,100.045,1573439664,1682959064,1029738,1101413,1.01021,1.01021,121,121,27.1177,263219,ns3::ThompsonSamplingWifiManager,D
