rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum,dataRate
407456,1,1,0,1,0.00680028,3.81332e-05,0.000189103,10.0003,157277040,157287736,102930,102937,1.01091,1.01091,121,121,3.92501,19.4643,10
407456,1,1,0,1,0.00825752,2.35651e-05,0.000192995,20.0003,314547968,314573944,205856,205873,1.01091,1.01091,120.999,120.999,4.85099,39.7292,20
407456,1,1,0,2,0.000971468,8.01476e-06,0.000312901,10.0003,157286208,157287736,102936,102937,1.00286,1.00286,120.999,120.999,0.824999,32.2088,10
407456,1,1,0,3,0.000971468,5.7813e-06,0.000312723,10.0003,157286208,157287736,102936,102937,1.00286,1.00286,120.999,120.999,0.595098,32.1904,10
407456,1,1,0,1,0.00809562,1.70178e-05,0.000198703,30.0004,471821952,471860152,308784,308809,1.01091,1.01091,121,121,5.25481,61.3562,30
407456,1,1,0,2,0.00145721,4.99989e-05,0.000292359,20.0003,314569360,314573944,205870,205873,1.00286,1.00286,121,121,10.2932,60.1879,20
407456,1,1,0,3,0.00145721,1.36997e-05,0.000306747,20.0003,314569360,314573944,205870,205873,1.00286,1.00286,121,121,2.82034,63.15,20
407456,1,1,0,1,0.00850041,6.21799e-05,0.000389295,40.0003,629092880,629146360,411710,411745,1.01091,1.01091,121,121,25.6,160.276,40
407456,1,1,0,2,0.00161912,0.000101694,0.000582252,30.0003,471852512,471860152,308804,308809,1.00286,1.00286,121,121,31.4035,179.802,30
407456,1,1,0,1,0.00874326,0.000105043,0.000418308,50.0004,786365336,786434096,514637,514682,1.01091,1.01091,121,121,54.059,215.277,50
407456,1,1,0,3,0.00161912,0.000102324,0.000578196,30.0003,471852512,471860152,308804,308809,1.00286,1.00286,121,121,31.5978,178.549,30
407456,1,1,0,2,0.00194295,0.000170553,0.000587585,40.0003,629134136,629146360,411737,411745,1.00286,1.00286,121,121,70.2229,241.931,40
407456,1,1,0,3,0.00194295,0.000172972,0.000578367,40.0003,629134136,629146360,411737,411745,1.00286,1.00286,121,121,71.2189,238.135,40
407456,1,1,0,1,0.00874327,0.000103438,0.000532661,60.0004,943637792,943720304,617564,617618,1.01091,1.01091,121,121,63.8792,328.952,60
407456,1,1,0,2,0.00233154,0.000159415,0.000697836,50.0003,786415760,786434096,514670,514682,1.00286,1.00286,121,121,82.0459,359.155,50
407456,1,1,0,3,0.00213724,0.00016068,0.00068979,50.0004,786417288,786434096,514671,514682,1.00286,1.00286,121,121,82.6969,355.015,50
