rngRun,flow,nStations,distance,nLinks,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum,rateAdaptationManager
407456,1,1,1,1,66.896,0.000244163,1.33788,42.5544,669076884,2021136408,650853,1966086,1.01324,1.01324,120.969,120.969,158.914,870762,ns3::MinstrelHtWifiManager
407456,2,1,1,1,64.8479,0.000223253,1.27998,45.1781,710472388,2021136408,691121,1966086,1.01391,1.01391,120.994,120.994,154.295,884619,ns3::MinstrelHtWifiManager
407456,1,1,1,1,55.1887,0.000154153,1.06732,57.5872,905696784,2021136408,881028,1966086,1.00947,1.00947,121,121,135.813,940335,ns3::IdealWifiManager
407456,2,1,1,1,54.9127,0.00015249,1.06019,57.9491,911276768,2021136408,886456,1966086,1.01735,1.01735,120.993,120.993,135.176,939810,ns3::IdealWifiManager
407456,1,1,1,2,55.5692,0.000156253,1.07309,57.1016,898006316,2021136408,873547,1966086,1.01531,1.01531,120.999,120.999,136.494,937393,ns3::IdealWifiManager
407456,2,1,1,2,55.042,0.000153231,1.06356,57.7793,908661536,2021136408,883912,1966086,1.01694,1.01694,121,121,135.443,940093,ns3::IdealWifiManager
407456,1,1,1,2,66.4319,0.000239016,1.32176,43.1401,678456356,2021136408,659977,1966086,1.01032,1.01032,120.996,120.996,157.745,872330,ns3::MinstrelHtWifiManager
407456,2,1,1,2,65.7978,0.000232218,1.30415,43.9563,691272432,2021136408,672444,1966086,1.01747,1.01747,121,121,156.153,876970,ns3::MinstrelHtWifiManager
407456,1,1,1,1,61.5763,0.000193787,1.19632,49.3933,776595404,2021136408,755443,1966086,1.04547,1.04547,121,121,146.395,903753,ns3::ThompsonSamplingWifiManager
407456,2,1,1,1,62.4219,0.000201012,1.21806,48.2919,759503876,2021136408,738817,1966086,1.00576,1.00576,120.996,120.996,148.511,899922,ns3::ThompsonSamplingWifiManager
407456,1,1,1,3,21.947,4.85753e-05,0.66752,100.312,1577558520,2021136408,1534590,1966086,1.01626,1.01626,121,121,74.5432,1.02437e+06,ns3::IdealWifiManager
