rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum,rateAdaptationManager,scenario,MLOn
1,1,1,1,3,48.5221,0.000212467,1.43576,55.0874,866351552,1682959064,566984,1101413,1.01348,1.01348,121,121,120.465,814056,ns3::ThompsonSamplingWifiManager,1,0
1,2,1,1,3,48.2767,0.000210093,1.45881,55.3595,870481736,1682959064,569687,1101413,1.03188,1.03188,120.998,120.998,119.687,831063,ns3::ThompsonSamplingWifiManager,1,0
1,3,1,1,3,0.437347,1.18617e-05,0.0573159,106.538,1675598688,1682959064,1096596,1101413,1.00704,1.00704,121,121,13.0074,62852.3,ns3::ThompsonSamplingWifiManager,1,0
1,4,1,1,3,4.35568,2.07483e-05,0.132654,102.348,1609654792,1682959064,1053439,1101413,1.01033,1.01033,121,121,21.857,139743,ns3::ThompsonSamplingWifiManager,1,0
1,1,1,1,3,48.7245,0.00011888,0.917344,104.103,1637186296,3192924080,1071457,2089610,1.01576,1.01576,121,121,127.375,982894,ns3::ThompsonSamplingWifiManager,2,0
1,2,1,1,3,48.5103,0.000117993,0.914715,104.538,1644027152,3192924080,1075934,2089610,1.01468,1.01468,120.999,120.999,126.953,984173,ns3::ThompsonSamplingWifiManager,2,0
1,3,1,1,3,0.450084,1.15972e-05,0.0342123,202.099,3178553240,3192924080,2080205,2089610,1.00697,1.00697,121,121,24.1245,71168.6,ns3::ThompsonSamplingWifiManager,2,0
1,4,1,1,3,7.63396,2.03067e-05,0.478847,187.52,2949177520,3192924080,1930090,2089610,1.01016,1.01016,121,121,39.1938,924218,ns3::ThompsonSamplingWifiManager,2,0
1,1,1,1,3,49.497,0.000220194,1.4541,54.0509,849945416,1682959064,556247,1101413,1.02365,1.02365,120.995,120.995,122.482,808840,ns3::ThompsonSamplingWifiManager,3,0
1,2,1,1,3,73.4117,0.000309923,1.49528,53.981,848943048,3192924080,555591,2089610,1.01473,1.01473,121,121,172.19,830764,ns3::ThompsonSamplingWifiManager,3,0
1,3,1,1,3,0.458219,1.16078e-05,0.0341661,202.082,3178293480,3192924080,2080035,2089610,1.00699,1.00699,121,121,24.1446,71066.7,ns3::ThompsonSamplingWifiManager,3,0
1,4,1,1,3,15.0569,2.17007e-05,0.325153,324.506,5103597928,6008257968,3340051,3932106,1.01015,1.01015,121,121,72.4815,1.08603e+06,ns3::ThompsonSamplingWifiManager,3,0
1,1,1,1,3,49.08,0.000216858,1.45629,54.4932,856961992,1682959064,560839,1101413,1.0183,1.0183,120.998,120.998,121.622,816742,ns3::ThompsonSamplingWifiManager,4,0
1,2,1,1,3,85.8015,0.000359237,1.49661,54.2441,853080872,6008257968,558299,3932106,1.01473,1.01473,121,121,200.561,835556,ns3::ThompsonSamplingWifiManager,4,0
1,3,1,1,3,0.447852,1.14525e-05,0.0223942,380.307,5981349888,6008257968,3914496,3932106,1.00697,1.00697,121,121,44.8307,87662.1,ns3::ThompsonSamplingWifiManager,4,0
1,4,1,1,3,14.9364,2.1593e-05,0.323798,324.967,5110839120,6008257968,3344790,3932106,1.01015,1.01015,121,121,72.224,1.08303e+06,ns3::ThompsonSamplingWifiManager,4,0
1,1,1,1,3,50.8147,0.000231392,1.45547,52.639,827768024,1682959064,541733,1101413,1.0183,1.0183,120.993,120.993,125.352,788475,ns3::ThompsonSamplingWifiManager,5,0
