rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum,rateAdaptationManager,scenario,MLOn
1,1,1,1,3,49.9511,0.000223992,1.45985,53.571,842302360,1682959064,551245,1101413,1.0395,1.0395,120.997,120.997,123.474,804736,ns3::ThompsonSamplingWifiManager,1,0
1,2,1,1,3,49.3081,0.000218653,1.47022,54.247,853123656,1682959064,558327,1101413,1.01525,1.01525,121,121,122.08,820865,ns3::ThompsonSamplingWifiManager,1,0
1,3,1,1,3,2.26073,1.59231e-05,0.074846,104.587,1644911864,1682959064,1076513,1101413,1.00738,1.00738,121,121,17.1414,80572.7,ns3::ThompsonSamplingWifiManager,1,0
1,4,1,1,3,4.3505,2.0738e-05,0.133238,102.353,1609741888,1682959064,1053496,1101413,1.0102,1.0102,121,121,21.8473,140366,ns3::ThompsonSamplingWifiManager,1,0
1,1,1,1,3,50.3825,0.000126266,0.942015,100.739,1584248736,3192924080,1036812,2089610,1.01778,1.01778,121,121,130.914,976692,ns3::ThompsonSamplingWifiManager,2,0
1,2,1,1,3,50.5669,0.00012696,0.945122,100.364,1578361352,3192924080,1032959,2089610,1.01479,1.01479,120.997,120.997,131.144,976272,ns3::ThompsonSamplingWifiManager,2,0
1,3,1,1,3,3.87115,1.56674e-05,0.161734,195.154,3069321104,3192924080,2008718,2089610,1.0073,1.0073,121,121,31.4713,324878,ns3::ThompsonSamplingWifiManager,2,0
1,4,1,1,3,7.5997,2.02367e-05,0.477118,187.589,2950271568,3192924080,1930806,2089610,1.01011,1.01011,121,121,39.0732,921222,ns3::ThompsonSamplingWifiManager,2,0
1,1,1,1,3,50.2825,0.000227155,1.45728,53.2044,836725160,1682959064,547595,1101413,1.01476,1.01476,120.999,120.999,124.388,797999,ns3::ThompsonSamplingWifiManager,3,0
1,2,1,1,3,73.8902,0.000317447,1.51536,53.0112,833667632,3192924080,545594,2089610,1.01803,1.01803,121,121,173.197,826771,ns3::ThompsonSamplingWifiManager,3,0
1,3,1,1,3,3.86718,1.56586e-05,0.161795,195.162,3069447928,3192924080,2008801,2089610,1.00733,1.00733,121,121,31.4549,325015,ns3::ThompsonSamplingWifiManager,3,0
1,4,1,1,3,14.9011,2.15392e-05,0.324852,325.102,5112963040,6008257968,3346180,3932106,1.01021,1.01021,121,121,72.0739,1.08701e+06,ns3::ThompsonSamplingWifiManager,3,0
1,1,1,1,3,50.0602,0.000224813,1.46911,53.4446,840465704,1682959064,550043,1101413,1.01766,1.01766,120.997,120.997,123.656,808074,ns3::ThompsonSamplingWifiManager,4,0
1,2,1,1,3,86.097,0.000367867,1.51879,53.1209,835325512,6008257968,546679,3932106,1.02781,1.02781,121,121,201.105,830292,ns3::ThompsonSamplingWifiManager,4,0
1,3,1,1,3,6.8236,1.55964e-05,0.292433,355.951,5598278760,6008257968,3663795,3932106,1.0073,1.0073,121,121,57.1419,1.07141e+06,ns3::ThompsonSamplingWifiManager,4,0
1,4,1,1,3,14.816,2.1478e-05,0.324633,325.426,5118077256,6008257968,3349527,3932106,1.01024,1.01024,121,121,71.9412,1.08737e+06,ns3::ThompsonSamplingWifiManager,4,0
1,1,1,1,3,52.0379,0.000242406,1.48384,51.3264,807182808,1682959064,528261,1101413,1.01445,1.01445,120.998,120.998,128.053,783855,ns3::ThompsonSamplingWifiManager,5,0
1,2,1,1,3,86.5173,0.000381525,1.55113,51.5115,810075312,6008257968,530154,3932106,1.01932,1.01932,121,121,202.266,822336,ns3::ThompsonSamplingWifiManager,5,0
1,3,1,1,3,6.83758,1.55955e-05,0.293773,355.897,5597438360,6008257968,3663245,3932106,1.0073,1.0073,121,121,57.1302,1.07616e+06,ns3::ThompsonSamplingWifiManager,5,0
1,4,1,1,3,23.8995,2.18098e-05,0.23686,491.651,7732341624,10160701872,5060433,6649674,1.01022,1.01022,121,121,110.367,1.19861e+06,ns3::ThompsonSamplingWifiManager,5,0
1,1,1,1,3,51.343,0.0001307,0.956268,98.7857,1553580248,3192924080,1016741,2089610,1.01418,1.01418,121,121,132.888,972277,ns3::ThompsonSamplingWifiManager,6,0
1,2,1,1,3,74.4859,0.000174154,0.971992,97.4781,1532952248,6008257968,1003241,3932106,1.0154,1.0154,120.996,120.996,174.718,975143,ns3::ThompsonSamplingWifiManager,6,0
1,3,1,1,3,6.83173,1.55919e-05,0.293455,355.92,5597789800,6008257968,3663475,3932106,1.00727,1.00727,121,121,57.1205,1.07507e+06,ns3::ThompsonSamplingWifiManager,6,0
1,4,1,1,3,22.3684,2.08479e-05,0.232439,501.542,7887914944,10160701872,5162248,6649674,1.01007,1.01007,121,121,107.622,1.19991e+06,ns3::ThompsonSamplingWifiManager,6,0
