rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum,rateAdaptationManager,scenario,MLOn,paddingDelayUsec,transitionDelayUsec,channelSwitchDelay
1,1,1,1,3,37.3987,0.000132596,1.29871,68.2651,1073224416,1714380856,702372,1121977,1.05505,1.05505,121,121,93.1316,912179,ns3::ThompsonSamplingWifiManager,3,0,32,128,5
1,2,1,1,3,59.2652,0.000285635,1.46424,44.4088,698349480,1714380856,457035,1121977,1.01032,1.01032,120.986,120.986,130.545,669207,ns3::ThompsonSamplingWifiManager,3,0,32,128,5
1,3,1,1,3,14.231,3.87328e-05,0.832182,93.4971,1470406624,1714380856,962308,1121977,1.01433,1.01433,121,121,37.2728,800816,ns3::ThompsonSamplingWifiManager,3,0,32,128,5
1,4,1,1,3,4.56605,1.73242e-05,0.144303,104.03,1636101416,1714380856,1070747,1121977,1.0105,1.0105,121,121,18.5498,154512,ns3::ThompsonSamplingWifiManager,3,0,32,128,5
1,1,1,1,3,37.0626,0.000130805,1.28825,68.6254,1078986504,1714380856,706143,1121977,1.0218,1.0218,120.978,120.978,92.3666,909691,ns3::ThompsonSamplingWifiManager,3,0,32,128,10
1,2,1,1,3,59.1837,0.000282085,1.45581,44.4926,699747600,1714380856,457950,1121977,1.01038,1.01038,121,121,129.181,666688,ns3::ThompsonSamplingWifiManager,3,0,32,128,10
1,3,1,1,3,17.1816,4.64039e-05,0.922327,90.4535,1419822184,1714380856,929203,1121977,1.23921,1.23921,120.996,120.996,43.1186,857029,ns3::ThompsonSamplingWifiManager,3,0,32,128,10
1,4,1,1,3,4.41194,1.69073e-05,0.129681,104.202,1638743328,1714380856,1072476,1121977,1.01505,1.01505,121,121,18.1327,139079,ns3::ThompsonSamplingWifiManager,3,0,32,128,10
1,1,1,1,3,35.3325,0.000121717,1.26829,70.4987,1108646512,1714380856,725554,1121977,1.0218,1.0218,121,121,88.3125,920216,ns3::ThompsonSamplingWifiManager,3,0,32,128,15
1,2,1,1,3,59.1471,0.000284961,1.46165,44.5349,700374080,1714380856,458360,1121977,1.01038,1.01038,120.993,120.993,130.615,669961,ns3::ThompsonSamplingWifiManager,3,0,32,128,15
1,3,1,1,3,18.0938,4.85622e-05,0.9405,89.4308,1404184632,1714380856,918969,1121977,1.2081,1.2081,121,121,44.6271,864291,ns3::ThompsonSamplingWifiManager,3,0,32,128,15
1,4,1,1,3,4.44465,1.71047e-05,0.133454,104.166,1638182552,1714380856,1072109,1121977,1.01505,1.01505,121,121,18.338,143078,ns3::ThompsonSamplingWifiManager,3,0,32,128,15
1,1,1,1,3,34.9856,0.000120098,1.25684,70.877,1114595016,1714380856,729447,1121977,1.02182,1.02182,121,121,87.6052,916801,ns3::ThompsonSamplingWifiManager,3,0,32,128,20
1,2,1,1,3,60.0552,0.000296944,1.49377,43.5496,684805288,1714380856,448171,1121977,1.01038,1.01038,120.98,120.98,133.082,669463,ns3::ThompsonSamplingWifiManager,3,0,32,128,20
1,3,1,1,3,18.4468,4.9851e-05,0.939061,89.093,1398132224,1714380856,915008,1121977,1.2723,1.2723,121,121,45.6141,859248,ns3::ThompsonSamplingWifiManager,3,0,32,128,20
1,4,1,1,3,4.42665,1.70715e-05,0.133413,104.185,1638491208,1714380856,1072311,1121977,1.01474,1.01474,121,121,18.306,143060,ns3::ThompsonSamplingWifiManager,3,0,32,128,20
1,1,1,1,3,33.7666,0.000114204,1.25263,72.2059,1135493472,1714380856,743124,1121977,1.02182,1.02182,121,121,84.8677,930863,ns3::ThompsonSamplingWifiManager,3,0,32,128,25
