rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum,rateAdaptationManager,scenario,MLOn,paddingDelayUsec,transitionDelayUsec,channelSwitchDelay
1,1,1,1,3,42.0739,0.000159418,1.3471,63.1483,993074704,1714380856,649918,1121977,1.01735,1.01735,120.998,120.998,103.608,875507,ns3::ThompsonSamplingWifiManager,3,0,32,128,5
1,2,1,1,3,29.4638,9.47864e-05,1.19178,76.9018,1209259200,1714380856,791400,1121977,1.02984,1.02984,121,121,75.0139,943172,ns3::ThompsonSamplingWifiManager,3,0,32,128,5
1,3,1,1,3,37.3063,0.000131837,1.25176,68.3415,1074808952,1714380856,703409,1121977,1.01221,1.01221,121,121,92.7354,880501,ns3::ThompsonSamplingWifiManager,3,0,32,128,5
1,4,1,1,3,4.70598,1.75869e-05,0.150959,103.877,1633702456,1714380856,1069177,1121977,1.01008,1.01008,121,121,18.8035,161402,ns3::ThompsonSamplingWifiManager,3,0,32,128,5
1,1,1,1,3,42.4912,0.000162173,1.35664,62.6945,985920608,1714380856,645236,1121977,1.02174,1.02174,121,121,104.64,875353,ns3::ThompsonSamplingWifiManager,3,0,32,128,10
1,2,1,1,3,28.117,8.91973e-05,1.16595,78.3677,1232348808,1714380856,806511,1121977,1.0239,1.0239,120.998,120.998,71.9385,940355,ns3::ThompsonSamplingWifiManager,3,0,32,128,10
1,3,1,1,3,38.5217,0.000138825,1.3173,67.0168,1053971616,1714380856,689772,1121977,1.01221,1.01221,120.999,120.999,95.7577,908635,ns3::ThompsonSamplingWifiManager,3,0,32,128,10
1,4,1,1,3,4.6894,1.75502e-05,0.149297,103.895,1633986664,1714380856,1069363,1121977,1.01008,1.01008,121,121,18.7675,159652,ns3::ThompsonSamplingWifiManager,3,0,32,128,10
1,1,1,1,3,45.2189,0.000180393,1.38172,59.7214,939156168,1714380856,614631,1121977,1.01954,1.01954,120.997,120.997,110.875,849249,ns3::ThompsonSamplingWifiManager,3,0,32,128,15
1,2,1,1,3,25.7187,8.0647e-05,1.09133,80.9786,1273464232,1714380856,833419,1121977,1.02054,1.02054,121,121,67.2127,909535,ns3::ThompsonSamplingWifiManager,3,0,32,128,15
