rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum,rateAdaptationManager,scenario,MLOn
407456,1,1,1,2,79.0356,0.00082055,2.56888,22.4444,352822840,1682959064,230905,1101413,1.06576,1.06576,120.999,120.999,189.468,593167,ns3::ThompsonSamplingWifiManager,D,0
407456,2,1,1,2,78.509,0.000798447,2.52183,22.9981,361685240,1682959064,236705,1101413,1.01449,1.01449,121,121,188.996,596931,ns3::ThompsonSamplingWifiManager,D,0
407456,3,1,1,2,78.9228,0.00081632,2.54975,22.5567,354720616,1682959064,232147,1101413,1.02061,1.02061,120.999,120.999,189.505,591916,ns3::ThompsonSamplingWifiManager,D,0
407456,4,1,1,2,78.4546,0.000794378,2.52077,23.0626,362600512,1682959064,237304,1101413,1.02808,1.02808,120.981,120.981,188.508,598189,ns3::ThompsonSamplingWifiManager,D,0
407456,5,1,1,2,78.8488,0.000813013,2.54426,22.6366,355965936,1682959064,232962,1101413,1.0203,1.0203,120.994,120.994,189.4,592717,ns3::ThompsonSamplingWifiManager,D,0
407456,6,1,1,2,78.6777,0.000804381,2.5295,22.8198,358846216,1682959064,234847,1101413,1.02031,1.02031,120.994,120.994,188.906,594046,ns3::ThompsonSamplingWifiManager,D,0
407456,1,1,1,2,79.4016,0.000837925,2.59628,22.0531,346663472,1682959064,226874,1101413,1.06634,1.06634,120.997,120.997,190.103,589029,ns3::ThompsonSamplingWifiManager,C,0
407456,2,1,1,2,78.592,0.000799878,2.52888,22.91,360288648,1682959064,235791,1101413,1.01449,1.01449,120.997,120.997,188.603,596286,ns3::ThompsonSamplingWifiManager,C,0
407456,3,1,1,2,79.0759,0.000823161,2.56253,22.3996,352144408,1682959064,230461,1101413,1.04613,1.04613,120.988,120.988,189.706,590564,ns3::ThompsonSamplingWifiManager,C,0
407456,4,1,1,2,78.5474,0.00079906,2.52058,22.9641,361038896,1682959064,236282,1101413,1.03036,1.03036,120.979,120.979,188.803,595567,ns3::ThompsonSamplingWifiManager,C,0
407456,5,1,1,2,78.9066,0.000815099,2.54641,22.5737,354994128,1682959064,232326,1101413,1.0203,1.0203,121,121,189.368,591596,ns3::ThompsonSamplingWifiManager,C,0
407456,6,1,1,2,78.4654,0.000795732,2.51585,23.0503,362418680,1682959064,237185,1101413,1.03579,1.03579,120.992,120.992,188.735,596722,ns3::ThompsonSamplingWifiManager,C,0
407456,1,1,1,3,78.6702,0.000805228,2.53423,22.8295,358971512,1682959064,234929,1101413,1.01491,1.01491,120.98,120.98,189.171,595365,ns3::ThompsonSamplingWifiManager,E,0
407456,2,1,1,3,78.8451,0.000813567,2.54608,22.6488,356028584,1682959064,233003,1101413,1.05814,1.05814,120.988,120.988,189.563,593243,ns3::ThompsonSamplingWifiManager,E,0
407456,3,1,1,3,79.0279,0.000821134,2.55643,22.4421,352951192,1682959064,230989,1101413,1.00834,1.00834,120.997,120.997,189.672,590507,ns3::ThompsonSamplingWifiManager,E,0
407456,4,1,1,3,78.8824,0.000815238,2.54967,22.6053,355400576,1682959064,232592,1101413,1.04359,1.04359,120.993,120.993,189.617,593033,ns3::ThompsonSamplingWifiManager,E,0
407456,5,1,1,3,78.5622,0.000799098,2.52364,22.9458,360789832,1682959064,236119,1101413,1.02259,1.02259,120.984,120.984,188.682,595879,ns3::ThompsonSamplingWifiManager,E,0
407456,6,1,1,3,78.962,0.000818941,2.549,22.5215,354060520,1682959064,231715,1101413,1.05817,1.05817,121,121,189.76,590641,ns3::ThompsonSamplingWifiManager,E,0
407456,1,1,1,2,4.2401,2.04613e-05,0.129537,102.47,1611599936,1682959064,1054712,1101413,1.00894,1.00894,121,121,21.5807,136624,ns3::ThompsonSamplingWifiManager,C,1
407456,2,1,1,2,75.6166,0.000678507,2.3533,26.094,410362736,1682959064,268562,1101413,1.01103,1.01103,120.993,120.993,182.221,632006,ns3::ThompsonSamplingWifiManager,C,1
407456,3,1,1,2,75.3739,0.000669155,2.3391,26.3606,414447080,1682959064,271235,1101413,1.04899,1.04899,121,121,181.498,634447,ns3::ThompsonSamplingWifiManager,C,1
407456,4,1,1,2,77.0918,0.000735142,2.43444,24.5217,385535792,1682959064,252314,1101413,1.03804,1.03804,120.989,120.989,185.486,614242,ns3::ThompsonSamplingWifiManager,C,1
407456,5,1,1,2,75.8969,0.000688244,2.36346,25.7973,405645800,1682959064,265475,1101413,1.02175,1.02175,120.989,120.989,182.711,627440,ns3::ThompsonSamplingWifiManager,C,1
407456,6,1,1,2,75.3906,0.000670145,2.33797,26.3491,414165928,1682959064,271051,1101413,1.07593,1.07593,120.998,120.998,181.643,633709,ns3::ThompsonSamplingWifiManager,C,1
407456,1,1,1,2,0.35972,1.16852e-05,0.056831,106.622,1676905128,1682959064,1097451,1101413,1.00819,1.00819,121,121,12.8239,62369.2,ns3::ThompsonSamplingWifiManager,D,1
407456,2,1,1,2,75.4958,0.000674434,2.3456,26.2222,412394976,1682959064,269892,1101413,1.01049,1.01049,120.997,120.997,182.024,633059,ns3::ThompsonSamplingWifiManager,D,1
407456,3,1,1,2,75.2083,0.000664127,2.32771,26.545,417234152,1682959064,273059,1101413,1.06556,1.06556,120.984,120.984,181.345,635602,ns3::ThompsonSamplingWifiManager,D,1
407456,4,1,1,2,77.1479,0.000736772,2.44069,24.4581,384591488,1682959064,251696,1101413,1.03152,1.03152,121,121,185.442,614312,ns3::ThompsonSamplingWifiManager,D,1
407456,5,1,1,2,75.6698,0.000681143,2.35172,26.0434,409467328,1682959064,267976,1101413,1.03968,1.03968,120.993,120.993,182.529,630205,ns3::ThompsonSamplingWifiManager,D,1
407456,6,1,1,2,75.2566,0.000664241,2.33003,26.4912,416421256,1682959064,272527,1101413,1.06011,1.06011,120.989,120.989,181.023,634996,ns3::ThompsonSamplingWifiManager,D,1
407456,1,1,1,3,3.70424,1.9265e-05,0.111246,103.042,1620618192,1682959064,1060614,1101413,1.00695,1.00695,121,121,20.4327,117989,ns3::ThompsonSamplingWifiManager,E,1
407456,2,1,1,3,75.5581,0.000674798,2.34755,26.1695,411346768,1682959064,269206,1101413,1.05818,1.05818,120.981,120.981,181.659,631974,ns3::ThompsonSamplingWifiManager,E,1
407456,3,1,1,3,75.4055,0.000670634,2.33972,26.3201,413915336,1682959064,270887,1101413,1.01721,1.01721,120.999,120.999,181.665,633799,ns3::ThompsonSamplingWifiManager,E,1
407456,4,1,1,3,76.8759,0.000726641,2.4207,24.7574,389169376,1682959064,254692,1101413,1.0479,1.0479,120.977,120.977,185.069,616533,ns3::ThompsonSamplingWifiManager,E,1
407456,5,1,1,3,75.4403,0.000672098,2.34217,26.2819,413330112,1682959064,270504,1101413,1.01394,1.01394,121,121,181.804,633565,ns3::ThompsonSamplingWifiManager,E,1
407456,6,1,1,3,75.573,0.000676174,2.34674,26.1461,411096176,1682959064,269042,1101413,1.03703,1.03703,120.994,120.994,181.919,631371,ns3::ThompsonSamplingWifiManager,E,1
407456,1,1,1,2,41.9221,0.000164871,1.37109,62.1514,977426456,1682959064,639677,1101413,1.01603,1.01603,121,121,105.464,877055,ns3::ThompsonSamplingWifiManager,C,2
407456,2,1,1,2,42.5421,0.000169285,1.38762,61.4835,966993272,1682959064,632849,1101413,1.00618,1.00618,120.999,120.999,107.132,878154,ns3::ThompsonSamplingWifiManager,C,2
407456,3,1,1,2,73.7337,0.000615147,2.25257,28.1232,442050400,1682959064,289300,1101413,1.07178,1.07178,120.993,120.993,177.961,651668,ns3::ThompsonSamplingWifiManager,C,2
407456,4,1,1,2,74.5247,0.000639569,2.29263,27.264,428738464,1682959064,280588,1101413,1.02224,1.02224,120.998,120.998,179.455,643284,ns3::ThompsonSamplingWifiManager,C,2
407456,5,1,1,2,74.7645,0.000647445,2.30445,27.0097,424703016,1682959064,277947,1101413,1.03468,1.03468,121,121,179.955,640515,ns3::ThompsonSamplingWifiManager,C,2
407456,6,1,1,2,73.5997,0.000610392,2.24643,28.2551,444305728,1682959064,290776,1101413,1.01808,1.01808,120.989,120.989,177.487,653207,ns3::ThompsonSamplingWifiManager,C,2
407456,1,1,1,2,38.1064,0.000142767,1.30914,66.24,1041643712,1682959064,681704,1101413,1.02074,1.02074,120.995,120.995,97.3249,892443,ns3::ThompsonSamplingWifiManager,D,2
407456,2,1,1,2,38.0771,0.000142451,1.32635,66.2605,1042137256,1682959064,682027,1101413,1.00581,1.00581,121,121,97.1555,904606,ns3::ThompsonSamplingWifiManager,D,2
407456,3,1,1,2,74.7243,0.00064757,2.30375,27.0554,425379920,1682959064,278390,1101413,1.03873,1.03873,120.992,120.992,180.276,641341,ns3::ThompsonSamplingWifiManager,D,2
407456,4,1,1,2,74.9018,0.000652297,2.3127,26.8627,422392680,1682959064,276435,1101413,1.03431,1.03431,121,121,180.317,639310,ns3::ThompsonSamplingWifiManager,D,2
407456,5,1,1,2,75.2603,0.000664546,2.32852,26.4817,416358608,1682959064,272486,1101413,1.04359,1.04359,120.997,120.997,181.079,634488,ns3::ThompsonSamplingWifiManager,D,2
407456,6,1,1,2,74.4712,0.000638332,2.29108,27.3294,429639984,1682959064,281178,1101413,1.0343,1.0343,120.975,120.975,179.484,644203,ns3::ThompsonSamplingWifiManager,D,2
407456,1,1,1,3,4.24727,2.04777e-05,0.129698,102.461,1611479224,1682959064,1054633,1101413,1.00695,1.00695,121,121,21.5965,136784,ns3::ThompsonSamplingWifiManager,E,2
407456,2,1,1,3,4.25199,2.04748e-05,0.129633,102.46,1611399768,1682959064,1054581,1101413,1.01175,1.01175,121,121,21.5923,136709,ns3::ThompsonSamplingWifiManager,E,2
407456,3,1,1,3,71.4448,0.000549564,2.14242,30.5613,480572808,1682959064,314511,1101413,1.01737,1.01737,120.989,120.989,172.843,673816,ns3::ThompsonSamplingWifiManager,E,2
407456,4,1,1,3,71.789,0.000559466,2.15822,30.1966,474780160,1682959064,310720,1101413,1.0431,1.0431,121,121,173.837,670602,ns3::ThompsonSamplingWifiManager,E,2
407456,5,1,1,3,71.7792,0.000558735,2.15515,30.2009,474945184,1682959064,310828,1101413,1.0163,1.0163,120.997,120.997,173.67,669880,ns3::ThompsonSamplingWifiManager,E,2
407456,6,1,1,3,71.3033,0.000545012,2.13709,30.7189,482953432,1682959064,316069,1101413,1.03277,1.03277,120.98,120.98,172.261,675469,ns3::ThompsonSamplingWifiManager,E,2
407456,1,1,1,2,54.6171,0.000271819,1.53137,48.571,763775384,1682959064,499853,1101413,1.01898,1.01898,120.991,120.991,135.869,765459,ns3::ThompsonSamplingWifiManager,C,3
407456,2,1,1,2,52.9914,0.000253724,1.48648,50.3017,791135752,1682959064,517759,1101413,1.00618,1.00618,121,121,131.368,769639,ns3::ThompsonSamplingWifiManager,C,3
407456,3,1,1,2,54.8766,0.000274465,1.54481,48.2904,759408360,1682959064,496995,1101413,1.01665,1.01665,120.995,120.995,136.407,767764,ns3::ThompsonSamplingWifiManager,C,3
