rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum,rateAdaptationManager,scenario,MLOn,paddingDelayUsec,transitionDelayUsec
1,1,1,1,3,45.1568,0.000179767,1.42852,59.7922,940221184,1714380856,615328,1121977,1.02241,1.02241,120.993,120.993,110.615,879006,ns3::ThompsonSamplingWifiManager,3,0,0,32
1,2,1,1,3,25.4882,7.93486e-05,1.10966,81.2232,1277415640,1714380856,836005,1121977,1.01075,1.01075,121,121,66.3358,927685,ns3::ThompsonSamplingWifiManager,3,0,0,32
1,3,1,1,3,39.8243,0.000145944,1.36221,65.5972,1031641424,1714380856,675158,1121977,1.01311,1.01311,121,121,98.5351,919706,ns3::ThompsonSamplingWifiManager,3,0,0,32
1,4,1,1,3,4.54519,1.71785e-05,0.143816,104.052,1636458968,1714380856,1070981,1121977,1.01021,1.01021,121,121,18.3979,154025,ns3::ThompsonSamplingWifiManager,3,0,0,32
1,1,1,1,3,44.6229,0.000176367,1.38993,60.3739,949373904,1714380856,621318,1121977,1.02299,1.02299,120.994,120.994,109.58,863592,ns3::ThompsonSamplingWifiManager,3,0,0,16
1,2,1,1,3,26.7194,8.39064e-05,1.1065,79.8818,1256309376,1714380856,822192,1121977,1.01167,1.01167,121,121,68.9871,909753,ns3::ThompsonSamplingWifiManager,3,0,0,16
1,3,1,1,3,38.6357,0.000139629,1.29595,66.8917,1052017304,1714380856,688493,1121977,1.0111,1.0111,121,121,96.1337,892255,ns3::ThompsonSamplingWifiManager,3,0,0,16
1,4,1,1,3,4.64092,1.74303e-05,0.149778,103.948,1634817896,1714380856,1069907,1121977,1.01008,1.01008,121,121,18.6487,160249,ns3::ThompsonSamplingWifiManager,3,0,0,16
1,1,1,1,3,46.8756,0.000192372,1.40444,57.9208,910753704,1714380856,596043,1121977,1.03449,1.03449,121,121,114.662,837110,ns3::ThompsonSamplingWifiManager,3,0,0,64
1,2,1,1,3,21.9995,6.67851e-05,1.02431,85.0258,1337226144,1714380856,875148,1121977,1.00995,1.00995,121,121,58.4468,896425,ns3::ThompsonSamplingWifiManager,3,0,0,64
1,3,1,1,3,39.4562,0.000144136,1.32091,66.0021,1037950536,1714380856,679287,1121977,1.01687,1.01687,120.997,120.997,97.9093,897274,ns3::ThompsonSamplingWifiManager,3,0,0,64
1,4,1,1,3,4.80242,1.78828e-05,0.156002,103.778,1632049160,1714380856,1068095,1121977,1.01685,1.01685,121,121,19.1005,166625,ns3::ThompsonSamplingWifiManager,3,0,0,64
1,1,1,1,3,50.3233,0.000219493,1.43653,54.1613,851647608,1714380856,557361,1121977,1.03008,1.03008,120.997,120.997,122.337,800667,ns3::ThompsonSamplingWifiManager,3,0,0,128
1,2,1,1,3,50.1218,0.000217744,1.42538,54.375,855102416,1714380856,559622,1121977,1.02,1.02,121,121,121.854,797672,ns3::ThompsonSamplingWifiManager,3,0,0,128
1,3,1,1,3,4.05614,1.60879e-05,0.124315,104.583,1644843104,1714380856,1076468,1121977,1.00806,1.00806,121,121,17.3181,133821,ns3::ThompsonSamplingWifiManager,3,0,0,128
1,4,1,1,3,6.10512,2.08718e-05,0.219964,102.355,1609715912,1714380856,1053479,1121977,1.01388,1.01388,121,121,21.9879,231727,ns3::ThompsonSamplingWifiManager,3,0,0,128
1,1,1,1,3,63.7936,0.000379442,1.82504,39.4766,620716384,1714380856,406228,1121977,1.02417,1.02417,120.986,120.986,154.14,741382,ns3::ThompsonSamplingWifiManager,3,0,0,256
1,2,1,1,3,64.4951,0.000390644,1.85082,38.7095,608689496,1714380856,398357,1121977,1.0311,1.0311,121,121,155.616,737286,ns3::ThompsonSamplingWifiManager,3,0,0,256
1,3,1,1,3,4.05597,1.6081e-05,0.12483,104.584,1644846160,1714380856,1076470,1121977,1.0084,1.0084,121,121,17.3107,134375,ns3::ThompsonSamplingWifiManager,3,0,0,256
1,4,1,1,3,64.8788,0.000397204,1.86368,38.2911,602111456,1714380856,394052,1121977,1.0311,1.0311,121,121,156.518,734385,ns3::ThompsonSamplingWifiManager,3,0,0,256
1,1,1,1,3,44.2406,0.000173402,1.38107,60.7843,955929024,1714380856,625608,1121977,1.01574,1.01574,121,121,108.481,864009,ns3::ThompsonSamplingWifiManager,3,0,32,16
1,2,1,1,3,26.8453,8.41427e-05,1.1456,79.7619,1254150312,1714380856,820779,1121977,1.02472,1.02472,120.987,120.987,69.0625,940285,ns3::ThompsonSamplingWifiManager,3,0,32,16
1,3,1,1,3,38.7114,0.000139786,1.28726,66.8088,1050720032,1714380856,687644,1121977,1.01048,1.01048,121,121,96.1231,885175,ns3::ThompsonSamplingWifiManager,3,0,32,16
1,4,1,1,3,4.65232,1.74362e-05,0.147651,103.935,1634622312,1714380856,1069779,1121977,1.01027,1.01027,121,121,18.6528,157954,ns3::ThompsonSamplingWifiManager,3,0,32,16
1,1,1,1,3,44.2743,0.000173863,1.33982,60.7487,955349912,1714380856,625229,1121977,1.01815,1.01815,121,121,108.704,837694,ns3::ThompsonSamplingWifiManager,3,0,32,32
1,2,1,1,3,26.2426,8.25517e-05,1.10033,80.4008,1264482648,1714380856,827541,1121977,1.01058,1.01058,121,121,68.3148,910568,ns3::ThompsonSamplingWifiManager,3,0,32,32
1,3,1,1,3,40.0854,0.000147452,1.31477,65.3126,1027164384,1714380856,672228,1121977,1.01258,1.01258,120.999,120.999,99.1212,883827,ns3::ThompsonSamplingWifiManager,3,0,32,32
1,4,1,1,3,4.55856,1.7228e-05,0.146659,104.04,1636229768,1714380856,1070831,1121977,1.01252,1.01252,121,121,18.4483,157048,ns3::ThompsonSamplingWifiManager,3,0,32,32
1,1,1,1,3,46.8743,0.000192323,1.38278,57.9235,910776624,1714380856,596058,1121977,1.03285,1.03285,120.996,120.996,114.635,824219,ns3::ThompsonSamplingWifiManager,3,0,32,64
1,2,1,1,3,22.0374,6.65532e-05,0.988185,84.9918,1336576744,1714380856,874723,1121977,1.02041,1.02041,121,121,58.2155,864388,ns3::ThompsonSamplingWifiManager,3,0,32,64
1,3,1,1,3,39.3168,0.00014315,1.30424,66.1492,1040340328,1714380856,680851,1121977,1.011,1.011,121,121,97.4638,887992,ns3::ThompsonSamplingWifiManager,3,0,32,64
1,4,1,1,3,4.79413,1.77975e-05,0.151691,103.787,1632191264,1714380856,1068188,1121977,1.01744,1.01744,121,121,19.011,162034,ns3::ThompsonSamplingWifiManager,3,0,32,64
1,1,1,1,3,50.5325,0.000221076,1.43409,53.9316,848061392,1714380856,555014,1121977,1.02963,1.02963,121,121,122.7,795941,ns3::ThompsonSamplingWifiManager,3,0,32,128
1,2,1,1,3,50.4189,0.00022027,1.42547,54.0672,850008064,1714380856,556288,1121977,1.05163,1.05163,120.996,120.996,122.533,792970,ns3::ThompsonSamplingWifiManager,3,0,32,128
1,3,1,1,3,4.05525,1.60941e-05,0.123929,104.585,1644858384,1714380856,1076478,1121977,1.00818,1.00818,121,121,17.3249,133407,ns3::ThompsonSamplingWifiManager,3,0,32,128
1,4,1,1,3,6.09531,2.08613e-05,0.222295,102.364,1609883992,1714380856,1053589,1121977,1.01146,1.01146,121,121,21.9792,234208,ns3::ThompsonSamplingWifiManager,3,0,32,128
1,1,1,1,3,63.6912,0.000377913,1.82197,39.585,622470528,1714380856,407376,1121977,1.01915,1.01915,120.991,120.991,153.952,742227,ns3::ThompsonSamplingWifiManager,3,0,32,256
