rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum,rateAdaptationManager,scenario,MLOn,paddingDelayUsec,transitionDelayUsec
1,1,1,1,3,36.2364,0.000126461,1.27117,69.5243,1093151064,1714380856,715413,1121977,1.04073,1.04073,121,121,90.4717,909410,ns3::ThompsonSamplingWifiManager,3,0,0,16
1,2,1,1,3,59.7879,0.000285742,1.47439,43.8505,689389288,1714380856,451171,1121977,1.01029,1.01029,120.955,120.955,128.918,665201,ns3::ThompsonSamplingWifiManager,3,0,0,16
1,3,1,1,3,16.4564,4.45942e-05,0.893129,91.0707,1432255520,1714380856,937340,1121977,1.01356,1.01356,121,121,41.7999,837165,ns3::ThompsonSamplingWifiManager,3,0,0,16
1,4,1,1,3,4.50713,1.71821e-05,0.145097,104.119,1637111424,1714380856,1071408,1121977,1.03983,1.03983,121,121,18.409,155458,ns3::ThompsonSamplingWifiManager,3,0,0,16
1,1,1,1,3,33.4814,0.000112677,1.25448,72.5236,1140381544,1714380856,746323,1121977,1.03019,1.03019,120.997,120.997,84.0932,936249,ns3::ThompsonSamplingWifiManager,3,0,0,32
1,2,1,1,3,61.1324,0.000310211,1.50448,42.3683,666337880,1714380856,436085,1121977,1.01044,1.01044,121,121,135.278,656079,ns3::ThompsonSamplingWifiManager,3,0,0,32
1,3,1,1,3,18.2188,4.89764e-05,0.907827,89.1494,1402040848,1714380856,917566,1121977,1.01343,1.01343,121,121,44.939,832991,ns3::ThompsonSamplingWifiManager,3,0,0,32
1,4,1,1,3,4.40009,1.69084e-05,0.139093,104.21,1638946552,1714380856,1072609,1121977,1.01002,1.01002,121,121,18.136,149193,ns3::ThompsonSamplingWifiManager,3,0,0,32
1,1,1,1,3,41.4266,0.000155531,1.33819,63.8546,1004171040,1714380856,657180,1121977,1.02087,1.02087,121,121,102.211,879430,ns3::ThompsonSamplingWifiManager,3,0,0,64
1,2,1,1,3,49.5721,0.000178523,1.37031,54.9727,864527120,1714380856,565790,1121977,1.01138,1.01138,120.995,120.995,101.006,775306,ns3::ThompsonSamplingWifiManager,3,0,0,64
1,3,1,1,3,14.1268,3.72797e-05,0.731285,93.6084,1472194384,1714380856,963478,1121977,1.01129,1.01129,121,121,35.9181,704577,ns3::ThompsonSamplingWifiManager,3,0,0,64
1,4,1,1,3,4.94805,1.81164e-05,0.165385,103.616,1629552408,1714380856,1066461,1121977,1.01336,1.01336,121,121,19.3204,176376,ns3::ThompsonSamplingWifiManager,3,0,0,64
1,1,1,1,3,49.4794,0.000212459,1.43973,55.0742,866116240,1714380856,566830,1121977,1.01742,1.01742,121,121,120.428,816079,ns3::ThompsonSamplingWifiManager,3,0,0,128
1,2,1,1,3,49.388,0.000211393,1.41685,55.1824,867682440,1714380856,567855,1121977,1.03603,1.03603,121,121,120.041,804564,ns3::ThompsonSamplingWifiManager,3,0,0,128
1,3,1,1,3,2.26243,1.20417e-05,0.0739514,106.538,1675594104,1714380856,1096593,1121977,1.00761,1.00761,121,121,13.2049,81094.6,ns3::ThompsonSamplingWifiManager,3,0,0,128
1,4,1,1,3,6.11314,2.08948e-05,0.221779,102.344,1609578392,1714380856,1053389,1121977,1.01118,1.01118,121,121,22.0103,233619,ns3::ThompsonSamplingWifiManager,3,0,0,128
1,1,1,1,3,63.0818,0.00036807,1.80385,40.2465,632918992,1714380856,414214,1121977,1.01871,1.01871,120.999,120.999,152.459,747179,ns3::ThompsonSamplingWifiManager,3,0,0,256
1,2,1,1,3,63.9975,0.000382494,1.83314,39.2581,617220320,1714380856,403940,1121977,1.0497,1.0497,121,121,154.504,740478,ns3::ThompsonSamplingWifiManager,3,0,0,256
1,3,1,1,3,2.25887,1.2029e-05,0.0737739,106.542,1675655224,1714380856,1096633,1121977,1.00798,1.00798,121,121,13.1914,80902.9,ns3::ThompsonSamplingWifiManager,3,0,0,256
1,4,1,1,3,64.3417,0.000387679,1.84696,38.886,611319184,1714380856,400078,1121977,1.04993,1.04993,120.99,120.99,155.102,738928,ns3::ThompsonSamplingWifiManager,3,0,0,256
1,1,1,1,3,36.1494,0.000126117,1.27735,69.6125,1094642392,1714380856,716389,1121977,1.02916,1.02916,121,121,90.3484,915078,ns3::ThompsonSamplingWifiManager,3,0,32,16
1,2,1,1,3,59.4506,0.000288102,1.48237,44.2059,695171240,1714380856,454955,1121977,1.01334,1.01334,120.991,120.991,131.073,674411,ns3::ThompsonSamplingWifiManager,3,0,32,16
1,3,1,1,3,17.3596,4.70694e-05,0.919606,90.0875,1416770768,1714380856,927206,1121977,1.01545,1.01545,121,121,43.6429,852664,ns3::ThompsonSamplingWifiManager,3,0,32,16
1,4,1,1,3,4.47817,1.72824e-05,0.142735,104.144,1637608024,1714380856,1071733,1121977,1.03156,1.03156,121,121,18.5221,152974,ns3::ThompsonSamplingWifiManager,3,0,32,16
1,1,1,1,3,33.5879,0.000113195,1.2424,72.406,1138555584,1714380856,745128,1121977,1.03077,1.03077,121,121,84.3449,925745,ns3::ThompsonSamplingWifiManager,3,0,32,32
1,2,1,1,3,61.4062,0.000313631,1.55003,42.0713,661645392,1714380856,433014,1121977,1.01042,1.01042,120.996,120.996,135.806,671187,ns3::ThompsonSamplingWifiManager,3,0,32,32
1,3,1,1,3,17.7421,4.79203e-05,0.943818,89.6711,1410214120,1714380856,922915,1121977,1.01613,1.01613,121,121,44.2264,871064,ns3::ThompsonSamplingWifiManager,3,0,32,32
1,4,1,1,3,4.47326,1.71075e-05,0.131316,104.13,1637692064,1714380856,1071788,1121977,1.01009,1.01009,121,121,18.3356,140743,ns3::ThompsonSamplingWifiManager,3,0,32,32
1,1,1,1,3,41.5062,0.000156054,1.33509,63.7677,1002806536,1714380856,656287,1121977,1.02046,1.02046,121,121,102.416,876201,ns3::ThompsonSamplingWifiManager,3,0,32,64
1,2,1,1,3,49.9,0.000179793,1.38451,54.6213,858904080,1714380856,562110,1121977,1.02531,1.02531,120.995,120.995,101.063,778248,ns3::ThompsonSamplingWifiManager,3,0,32,64
1,3,1,1,3,13.4953,3.5852e-05,0.786449,94.2961,1483020264,1714380856,970563,1121977,1.01035,1.01035,121,121,34.7965,763299,ns3::ThompsonSamplingWifiManager,3,0,32,64
1,4,1,1,3,4.97185,1.82207e-05,0.162094,103.589,1629144432,1714380856,1066194,1121977,1.01211,1.01211,121,121,19.4268,172823,ns3::ThompsonSamplingWifiManager,3,0,32,64
1,1,1,1,3,49.6223,0.000213606,1.43095,54.9206,863665328,1714380856,565226,1121977,1.01926,1.01926,120.997,120.997,120.736,808811,ns3::ThompsonSamplingWifiManager,3,0,32,128
1,2,1,1,3,49.4296,0.000212271,1.42694,55.1345,866968864,1714380856,567388,1121977,1.03053,1.03053,121,121,120.44,809628,ns3::ThompsonSamplingWifiManager,3,0,32,128
1,3,1,1,3,2.26261,1.20438e-05,0.0736739,106.538,1675591048,1714380856,1096591,1121977,1.00774,1.00774,121,121,13.2072,80790.2,ns3::ThompsonSamplingWifiManager,3,0,32,128
1,4,1,1,3,6.09977,2.08588e-05,0.2208,102.359,1609807592,1714380856,1053539,1121977,1.0114,1.0114,121,121,21.9755,232621,ns3::ThompsonSamplingWifiManager,3,0,32,128
1,1,1,1,3,63.0444,0.000367487,1.79883,40.2881,633559224,1714380856,414633,1121977,1.01868,1.01868,120.996,120.996,152.372,745853,ns3::ThompsonSamplingWifiManager,3,0,32,256
1,2,1,1,3,63.9105,0.000381449,1.83147,39.3497,618711648,1714380856,404916,1121977,1.03182,1.03182,120.992,120.992,154.454,741591,ns3::ThompsonSamplingWifiManager,3,0,32,256
1,3,1,1,3,2.2586,1.2032e-05,0.0740597,106.543,1675659808,1714380856,1096636,1121977,1.00811,1.00811,121,121,13.1947,81216.5,ns3::ThompsonSamplingWifiManager,3,0,32,256
1,4,1,1,3,64.251,0.000387417,1.84338,38.9821,612873160,1714380856,401095,1121977,1.05136,1.05136,121,121,155.391,739369,ns3::ThompsonSamplingWifiManager,3,0,32,256
1,1,1,1,3,35.9702,0.000125063,1.28496,69.8081,1097715200,1714380856,718400,1121977,1.02393,1.02393,120.994,120.994,89.8452,923116,ns3::ThompsonSamplingWifiManager,3,0,64,16
1,2,1,1,3,59.7294,0.000290816,1.48545,43.8979,690391656,1714380856,451827,1121977,1.01083,1.01083,121,121,131.398,671164,ns3::ThompsonSamplingWifiManager,3,0,64,16
1,3,1,1,3,16.9367,4.57466e-05,0.940965,90.5484,1424021128,1714380856,931951,1121977,1.01532,1.01532,121,121,42.6335,876933,ns3::ThompsonSamplingWifiManager,3,0,64,16
1,4,1,1,3,4.46703,1.70633e-05,0.138234,104.148,1637799024,1714380856,1071858,1121977,1.02297,1.02297,121,121,18.2895,148167,ns3::ThompsonSamplingWifiManager,3,0,64,16
1,1,1,1,3,33.4118,0.000112627,1.23758,72.5986,1141574912,1714380856,747104,1121977,1.03027,1.03027,120.998,120.998,84.1437,924603,ns3::ThompsonSamplingWifiManager,3,0,64,32
1,2,1,1,3,60.9355,0.000308337,1.50446,42.5832,669714760,1714380856,438295,1121977,1.01091,1.01091,121,121,135.142,659396,ns3::ThompsonSamplingWifiManager,3,0,64,32
1,3,1,1,3,18.1226,4.83118e-05,0.896486,89.2615,1403691088,1714380856,918646,1121977,1.01906,1.01906,120.996,120.996,44.3814,823554,ns3::ThompsonSamplingWifiManager,3,0,64,32
1,4,1,1,3,4.43137,1.69558e-05,0.140144,104.176,1638410224,1714380856,1072258,1121977,1.01026,1.01026,121,121,18.181,150271,ns3::ThompsonSamplingWifiManager,3,0,64,32
1,1,1,1,3,41.7971,0.000157989,1.34328,63.4553,997819144,1714380856,653023,1121977,1.02956,1.02956,121,121,103.17,877191,ns3::ThompsonSamplingWifiManager,3,0,64,64
1,2,1,1,3,49.474,0.000177619,1.37487,55.0774,866207920,1714380856,566890,1121977,1.00989,1.00989,120.998,120.998,100.69,779397,ns3::ThompsonSamplingWifiManager,3,0,64,64
1,3,1,1,3,13.7994,3.6659e-05,0.788809,93.9674,1477806728,1714380856,967151,1121977,1.01404,1.01404,121,121,35.4548,762897,ns3::ThompsonSamplingWifiManager,3,0,64,64
1,4,1,1,3,4.97096,1.82865e-05,0.164561,103.588,1629159712,1714380856,1066204,1121977,1.01046,1.01046,121,121,19.4971,175456,ns3::ThompsonSamplingWifiManager,3,0,64,64
1,1,1,1,3,49.505,0.000212895,1.42946,55.0462,865676176,1714380856,566542,1121977,1.0173,1.0173,121,121,120.614,809851,ns3::ThompsonSamplingWifiManager,3,0,64,128
