rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum
407456,1,1,1,1,1.35054,1.44976e-05,0.0561132,130.65,1959566792,1986393888,1282439,1299996,1.01077,1.01077,121,121,18.5923,71961.7
407456,1,2,1,1,7.51413,0.000221086,0.277795,61.2411,918572480,993203056,601160,650002,1.00574,1.00574,121,121,132.908,166999
407456,2,2,1,1,6.95167,0.000218993,0.267715,61.621,924158848,993203056,604816,650002,1.01622,1.01622,120.996,120.996,132.45,161918
407456,1,1,1,2,1.66185,1.50857e-05,0.0604692,130.241,1953382976,1986393888,1278392,1299996,1.01412,1.01412,121,121,19.2854,77303.4
407456,1,1,1,3,1.83008,1.54078e-05,0.0627261,130.013,1950041240,1986393888,1276205,1299996,1.00915,1.00915,121,121,19.6634,80051.3
407456,1,3,1,1,13.3851,0.000455837,0.587251,38.2439,573507296,662134352,375332,433334,1.02903,1.02903,120.997,120.997,171.09,220414
407456,2,3,1,1,12.6685,0.000450841,0.531289,38.5526,578251736,662134352,378437,433334,1.00775,1.00775,121,121,170.614,201059
407456,3,3,1,1,10.8521,0.000438086,0.53215,39.3599,590278624,662134352,386308,433334,1.01787,1.01787,120.994,120.994,169.236,205574
407456,1,2,1,2,7.00906,0.000219172,0.278792,61.5774,923588904,993203056,604443,650002,1.00925,1.00925,121,121,132.477,168514
407456,2,2,1,2,8.52828,0.000225606,0.318602,60.5752,908499904,993203056,594568,650002,1.01604,1.01604,120.999,120.999,134.138,189431
407456,1,2,1,3,7.47075,0.000221168,0.311475,61.2727,919003376,993203056,601442,650002,1.01129,1.01129,121,121,133.02,187334
407456,2,2,1,3,8.6532,0.000225792,0.379003,60.4915,907259168,993203056,593756,650002,1.01422,1.01422,120.999,120.999,134.065,225036
407456,1,4,1,1,15.184,0.000670626,0.681424,28.1061,421196256,496600000,275652,325000,1.03499,1.03499,120.923,120.923,184.859,187836
407456,2,4,1,1,17.1474,0.000697198,0.599927,27.4344,411446088,496600000,269271,325000,1.01333,1.01333,120.993,120.993,187.734,161543
407456,3,4,1,1,17.3129,0.000694726,0.794956,27.3795,410624024,496600000,268733,325000,1.01643,1.01643,120.997,120.997,186.695,213631
407456,4,4,1,1,15.8612,0.000679005,0.720376,27.8823,417833128,496600000,273451,325000,1.02274,1.02274,120.908,120.908,185.674,196988
407456,1,3,1,2,12.7749,0.000450977,0.649814,38.5098,577547328,662134352,377976,433334,1.02067,1.02067,121,121,170.458,245614
