rngRun,nStations,distance,linksNumber,loss,jitter,latency,throughput
407456,1,1,1,1.35523,1.45027e-05,0.0566189,128.238
407456,2,1,1,7.56082,0.000220908,0.308563,120.171
407456,1,1,2,1.65077,1.50691e-05,0.0603503,127.854
407456,1,1,3,1.82516,1.5392e-05,0.0627059,127.627
407456,3,1,1,11.9908,0.000445027,0.548298,114.412
407456,2,1,2,7.59836,0.000221551,0.284281,120.123
407456,2,1,3,7.92851,0.00022279,0.304732,119.693
407456,4,1,1,16.4555,0.000686917,0.609092,108.608
407456,3,1,2,12.5951,0.000449394,0.576162,113.627
407456,5,1,1,19.5679,0.000915776,0.718644,104.562
407456,3,1,3,12.4228,0.000448252,0.574487,113.851
407456,4,1,2,16.6015,0.00068828,0.704477,108.418
407456,6,1,1,23.1313,0.00111986,0.624019,99.9295
407456,4,1,3,16.9709,0.000689933,0.67976,107.938
407456,5,1,2,20.3999,0.000919371,0.687534,103.481
407456,7,1,1,26.301,0.00129896,0.566152,95.8091
407456,5,1,3,20.2205,0.00091612,0.70466,103.714
407456,6,1,2,23.3904,0.0011142,0.598338,99.5926
407456,8,1,1,28.8655,0.00144809,0.490038,92.4749
407456,6,1,3,23.7417,0.00112988,0.62482,99.1359
407456,7,1,2,26.2257,0.00128947,0.532679,95.907
407456,9,1,1,31.5475,0.00158209,0.457553,88.9886
407456,7,1,3,26.6471,0.00129688,0.549261,95.3591
407456,8,1,2,29.6198,0.00143715,0.485516,91.4943
407456,10,1,1,34.5952,0.00170967,0.430422,85.0262
407456,8,1,3,29.9948,0.00144233,0.485725,91.0067
407456,9,1,2,32.6063,0.00156217,0.445251,87.6121
407456,11,1,1,38.814,0.00185138,0.398093,79.5419
407456,9,1,3,33.0833,0.00156718,0.451132,86.992
407456,10,1,2,35.8865,0.00167884,0.413066,83.3476
407456,12,1,1,42.4704,0.00200764,0.382618,74.789
407456,10,1,3,36.5911,0.00168256,0.424145,82.4316
407456,11,1,2,39.3544,0.00182244,0.385592,78.8394
407456,13,1,1,44.1715,0.0021842,0.38042,72.5771
407456,12,1,2,42.4507,0.00200343,0.38138,74.8146
407456,14,1,1,46.1462,0.00236572,0.375823,70.0106
407456,11,1,3,40.4503,0.00182257,0.387305,77.4147
407456,15,1,1,48.0135,0.00254998,0.373602,67.5827
407456,13,1,2,43.9673,0.00218347,0.374277,72.8425
407457,1,1,1,1.35639,1.45081e-05,0.0563045,128.236
407457,1,1,2,1.66585,1.50952e-05,0.060329,127.834
407457,1,1,3,1.82601,1.53954e-05,0.0626858,127.626
407457,2,1,1,7.22313,0.000220066,0.294508,120.61
407456,14,1,2,46.2306,0.00236479,0.376183,69.9009
407456,12,1,3,42.9979,0.00200243,0.384795,74.1032
407457,2,1,2,7.86928,0.000222829,0.314375,119.77
407457,3,1,1,12.4453,0.000447919,0.526337,113.821
407457,2,1,3,7.80775,0.000222225,0.316739,119.85
407457,3,1,2,12.628,0.000449454,0.538597,113.584
407457,4,1,1,16.7258,0.0006905,0.708246,108.256
407457,3,1,3,12.6414,0.000449942,0.629359,113.566
407457,5,1,1,19.629,0.000911798,0.674169,104.483
407457,4,1,2,16.9252,0.000689284,0.715509,107.997
407457,4,1,3,16.7097,0.000688117,0.664239,108.277
407457,6,1,1,22.908,0.0011148,0.614892,100.22
407457,5,1,2,20.4709,0.000924847,0.734597,103.388
407456,15,1,2,48.0207,0.00254504,0.371939,67.5733
407457,5,1,3,20.2219,0.000916474,0.697372,103.712
407457,7,1,1,26.0144,0.00129031,0.537546,96.1817
407457,6,1,2,23.4302,0.00111991,0.613326,99.5409
407457,8,1,1,28.9123,0.00145307,0.496715,92.414
407457,6,1,3,24.0609,0.00112934,0.637299,98.721
407457,7,1,2,26.8934,0.00129498,0.550123,95.039
407457,9,1,1,31.9496,0.00158836,0.45978,88.4659
407457,7,1,3,26.967,0.00129701,0.54306,94.9433
407457,8,1,2,29.7587,0.00143841,0.485833,91.3137
407457,10,1,1,33.4585,0.00171022,0.428043,86.504
407457,8,1,3,30.2312,0.00144588,0.490262,90.6994
407457,9,1,2,32.7449,0.00156151,0.449601,87.432
407457,11,1,1,38.6174,0.00185075,0.397021,79.7975
407457,9,1,3,32.3907,0.00155963,0.442998,87.8924
407457,10,1,2,36.2402,0.00167473,0.416672,82.8878
407457,12,1,1,42.4274,0.00200466,0.380338,74.8448
407457,10,1,3,37.4024,0.00168074,0.423354,81.3769
407457,11,1,2,40.2199,0.00182366,0.3898,77.7142
407457,13,1,1,44.0854,0.00218525,0.374634,72.689
407457,12,1,2,43.4571,0.00200372,0.382418,73.5062
407457,11,1,3,40.6986,0.00182218,0.390161,77.092
407457,14,1,1,45.6513,0.00236482,0.374841,70.654
407457,13,1,2,44.6595,0.00218303,0.380622,71.9426
407457,12,1,3,42.4512,0.0020015,0.378513,74.8139
407457,15,1,1,47.7536,0.00254815,0.370196,67.9206
407457,14,1,2,46.0678,0.00236297,0.373745,70.1125
407458,1,1,1,1.34623,1.44909e-05,0.0566571,128.25
407458,1,1,2,1.67801,1.5109e-05,0.0604981,127.818
407458,1,1,3,1.83585,1.54109e-05,0.0624803,127.613
407458,2,1,1,7.30213,0.000220272,0.27657,120.508
407457,13,1,3,44.2534,0.00218369,0.374005,72.4706
407458,2,1,2,7.71759,0.00022229,0.284646,119.968
407458,2,1,3,7.85113,0.000222286,0.275925,119.794
407458,3,1,1,12.227,0.000447563,0.504245,114.105
407458,3,1,2,12.7557,0.000451242,0.561427,113.418
407458,3,1,3,12.6895,0.000449988,0.514242,113.504
407458,4,1,1,16.3018,0.000684326,0.702617,108.808
407457,14,1,3,46.0182,0.00236467,0.375581,70.177
407458,4,1,2,16.8942,0.00069178,0.678063,108.037
407458,5,1,1,19.6221,0.000912547,0.639546,104.492
407457,15,1,2,47.6641,0.00254273,0.372424,68.0369
407458,4,1,3,16.9291,0.000691016,0.744698,107.992
407458,6,1,1,22.9677,0.00112336,0.632176,100.142
407458,5,1,2,20.1468,0.000914303,0.749992,103.81
407458,7,1,1,25.9981,0.00129774,0.552412,96.2029
407458,6,1,2,23.2851,0.00111825,0.601971,99.7295
407458,5,1,3,20.3034,0.000919887,0.689244,103.606
407458,8,1,1,28.7265,0.00144367,0.485619,92.6556
407458,6,1,3,23.5427,0.00112265,0.608317,99.3946
407458,7,1,2,26.816,0.00130263,0.549141,95.1396
407458,9,1,1,31.7798,0.00158073,0.462113,88.6866
407458,7,1,3,26.6241,0.00129352,0.540697,95.389
