rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum
407456,1,1,1,1,1.34931,1.44963e-05,0.0561398,130.65,1959591240,1986393888,1282455,1299996,1.00961,1.00961,121,121,18.5908,71996.7
407456,1,2,1,1,1.36369,0.000196637,0.053702,65.3209,979658864,993203056,641138,650002,1.01895,1.01895,121,121,126.071,34430.4
407456,2,2,1,1,1.36553,0.000196632,0.0533785,65.3231,979640528,993203056,641126,650002,1.0226,1.0226,120.997,120.997,126.066,34222.4
407456,1,1,1,2,6.58648,2.44464e-05,0.237932,123.718,1855560416,1986393888,1214372,1299996,1.01352,1.01352,121,121,29.687,288938
407456,1,1,1,3,7.12379,2.54006e-05,0.181347,123.008,1844887336,1986393888,1207387,1299996,1.01454,1.01454,121,121,30.6684,218955
407456,1,3,1,1,1.34977,0.000379177,0.0529268,43.5528,653197080,662134352,427485,433334,1.01477,1.01477,120.997,120.997,162.092,22625.4
407456,2,3,1,1,1.35507,0.000379169,0.0527482,43.5546,653161936,662134352,427462,433334,1.02246,1.02246,120.994,120.994,162.08,22547.8
407456,3,3,1,1,1.35161,0.000379184,0.0531028,43.5524,653184856,662134352,427477,433334,1.01844,1.01844,121,121,162.092,22700.2
407456,1,2,1,2,2.86168,0.000157775,0.00317443,64.3286,964780728,993203056,631401,650002,1.01843,1.01843,121,121,99.6191,2004.34
407456,2,2,1,2,2.84168,0.000157796,0.00276919,64.3405,964979368,993203056,631531,650002,1.01558,1.01558,121,121,99.6528,1748.83
407456,1,2,1,3,3.08261,0.000164255,0.00649949,64.1776,962586520,993203056,629965,650002,1.00954,1.00954,121,121,103.475,4094.45
407456,2,2,1,3,3.18445,0.000164692,0.00574815,64.1129,961574984,993203056,629303,650002,1.01453,1.01453,121,121,103.641,3617.33
407456,1,4,1,1,1.36031,0.000561786,0.0518792,32.6667,489844712,496600000,320579,325000,1.03498,1.03498,120.997,120.997,180.096,16631.4
407456,2,4,1,1,1.35446,0.000561782,0.052714,32.6637,489873744,496600000,320598,325000,1.01306,1.01306,120.993,120.993,180.106,16900
407456,3,4,1,1,1.35292,0.000560766,0.0542234,32.664,489881384,496600000,320603,325000,1.01928,1.01928,121,121,179.783,17384.2
407456,4,4,1,1,1.36123,0.000561778,0.0526598,32.6654,489840128,496600000,320576,325000,1.02397,1.02397,120.989,120.989,180.092,16881.5
